Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,artifact_id,group_key,image_file,image_path,image_exists,object_type,material_group,integrity,part_zone,split
40,М102-2012-1-0494,Изразец,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т,Керамика,"7+ х 3,5+ х 1,1+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,М102-2012-1-0494,М102-2012-1-0494,М102-2012-1-0494_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0494_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
41,М102-2012-1-0496,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,Керамика,"9,9+ х 6,4+ х 1,3+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,М102-2012-1-0496,М102-2012-1-0496,М102-2012-1-0496_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0496_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
59,М102-2012-1-0585,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0585,М102-2012-1-0585,М102-2012-1-0585_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0585_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
63,М102-2012-1-0603,Изразец,Изразца (перемычки?) красноглиняного с белой поливой и голубой росписью фр-т,Керамика,"3,8+ х 2,8 х 5,1+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0603,М102-2012-1-0603,М102-2012-1-0603_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0603_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
64,М102-2012-1-0611,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,Керамика,"9,8+ х 6,8+ х 2,2 см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0611,М102-2012-1-0611,М102-2012-1-0611_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0611_orig.jpg,True,изразец,ceramic,fragment,unknown,train_inner
83,М102-2012-1-0691,Миска,"Миски серолощеной с орнаментом ""волна"" снаружи венчика фр-т",Керамика,D28 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,М102-2012-1-0691,М102-2012-1-0691,М102-2012-1-0691_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0691_orig.jpg,True,миска,ceramic,fragment,rim,train_inner
85,М102-2012-1-0752,Тарелка,"Сосуда (тарелки, блюда ?) красноглиняной с белой поливой снаружи и внутри с росписью (синие цветы с листьями в центре сосуда) донца фр-т",Керамика,D ок 19 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,М102-2012-1-0752,М102-2012-1-0752,М102-2012-1-0752_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0752_orig.jpg,True,тарелка,ceramic,fragment,base,train_inner
103,М102-2012-1-0827,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D19 см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0827,М102-2012-1-0827,М102-2012-1-0827_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0827_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
105,М102-2012-1-0833,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0833,М102-2012-1-0833,М102-2012-1-0833_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0833_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
107,М102-2012-1-0837,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,М102-2012-1-0837,М102-2012-1-0837,М102-2012-1-0837_orig.jpg,/Users/artemvardanan/Downloads/DL_project1/data/raw/cu_data/cu_data/dataset/М102-2012-1-0837_orig.jpg,True,тарелка,faience,fragment,rim,train_inner
